"","qname","log2fc"
"1","ARCN1_c_118438373.25","0.439465740967231"
"2","ARCN1_c_118438478.24","0.0362911809545568"
"3","ARCN1_c_118438478.26","0.625558422759513"
"4","ARCN1_c_118438508.26","-0.0435404115869635"
"5","ARCN1_c_118438682.27","0.386481542592219"
"6","ARCN1_c_118438763.26","0.244578740056015"
"7","ARCN1_c_118438763.27","-0.183215497376623"
"8","ARCN1_c_118438763.28","0.314447718992918"
"9","ARCN1_c_118438764.27","0.152208097148071"
"10","ARCN1_c_118438764.28","0.367449913251131"
"11","ARCN1_c_118438782.28","0.19158726958795"
"12","ARCN1_c_118438858.25","-0.0384865960877746"
"13","ARCN1_c_118438871.25","0.294326432820814"
"14","ARCN1_c_118438871.27","-0.110403759541699"
"15","ARCN1_c_118438884.24","-0.0856661793102568"
"16","ARCN1_c_118438884.27","0.218047217168998"
"17","ARCN1_c_118438884.28","0.201935939818675"
"18","ARCN1_c_118438983.27","0.192036034380814"
"19","ARCN1_c_118438984.28","0.210544451662974"
"20","ARCN1_c_118439715.27","0.505470208833613"
"21","ARCN1_c_118440255.26","-0.149823315066335"
"22","ARCN1_c_118440255.28","0.271744870510331"
"23","ARCN1_c_118440279.25","0.156165476667038"
"24","ARCN1_c_118440279.26","-0.20079116939106"
"25","ARCN1_c_118440280.26","0.528331452462376"
"26","ARCN1_c_118440280.27","-0.0663383511368159"
"27","ARCN1_c_118440314.25","-0.075688607215106"
"28","ARCN1_c_118440315.26","0.0534083321688642"
"29","ARCN1_c_118440459.28","-0.0135579762524673"
"30","ARCN1_c_118440508.28","-0.276827896136904"
"31","ARCN1_c_118440512.24","0.377358434054282"
"32","ARCN1_c_118440552.28","0.175394554503924"
"33","ARCN1_c_118440563.28","0.300730880759246"
"34","ARCN1_c_118440579.26","-0.0139229406589722"
"35","ARCN1_c_118440579.28","0.0529677356632956"
"36","ARCN1_c_118441099.28","-0.160917442577976"
"37","ARCN1_c_118441293.26","-0.203204248298483"
"38","ARCN1_c_118441293.27","0.382968303880384"
"39","ARCN1_c_118441304.24","0.155064265965588"
"40","ARCN1_c_118441304.27","-0.0358052335995398"
"41","ARCN1_c_118441304.28","-0.00510065462903857"
"42","ARCN1_c_118441311.24","0.0230455165218065"
"43","ARCN1_c_118441311.27","0.0644213646485903"
"44","ARCN1_c_118441327.24","0.241439167226381"
"45","ARCN1_c_118441327.25","0.112558858382786"
"46","ARCN1_c_118441371.28","-0.0524932484465537"
"47","ARCN1_c_118441435.23","0.191659766281532"
"48","ARCN1_c_118441435.25","0.00749179125348814"
"49","ARCN1_c_118441667.25","-0.0327668993679251"
"50","ARCN1_c_118441667.27","-0.158871929089481"
